         700  4.213921696293983E-004  3.564061020501209E-005
         750  3.101309698603291E-004  2.477732689956668E-005
         800  1.721027001854963E-004  1.446118137796164E-005
         850  1.117064375413611E-004  1.220130321573244E-005
         900  1.796921485311759E-004  1.487147182170877E-005
         950  2.414981229077966E-004  1.839876635386273E-005
        1000  2.467793665018689E-004  1.718724192780952E-005
        1050  1.623547063933802E-004  1.289085936921529E-005
        1100  9.481945249848650E-005  8.957659989623297E-006
        1150  5.853350975843568E-005  6.597226404616813E-006
        1200  6.923538882521825E-005  7.130655939557040E-006
        1250  9.945677161151252E-005  8.229676956499192E-006
        1300  1.082505240249157E-004  8.315988526199068E-006
        1350  9.161113568425207E-005  7.491983245678377E-006
        1400  5.694401143984578E-005  5.371729020020033E-006
        1450  3.508339413896465E-005  4.235003948407479E-006
        1500  3.419941411508262E-005  4.002253365198996E-006
        1550  4.688725443158546E-005  4.500076842544475E-006
        1600  5.467080959986561E-005  4.782700277574523E-006
        1650  4.224396375511787E-005  4.161611967027564E-006
        1700  2.807023820555514E-005  3.443251210683791E-006
        1750  2.564036856647362E-005  2.934322794625094E-006
        1800  1.444206933768555E-005  2.736549033669679E-006
        1850  1.263381479380541E-005  2.847548894694034E-006
        1900  1.832243877862766E-005  2.839666974024799E-006
        1950  1.693243326480570E-005  2.855918143401401E-006
        2000  1.380553297132337E-005  2.654063326833576E-006
        2075  4.494973843532938E-006  1.524667991885358E-006
        2175  7.744583233114781E-006  1.634420952096897E-006
        2275  3.504878244230647E-006  1.432165642023763E-006
        2375  2.609112378455069E-006  1.342565977068910E-006
        2475  1.881576339160726E-006  1.223045451916070E-006
        2625  9.766729757021878E-007  8.643474611181641E-007
        2825  1.341679140539554E-006  8.334188660492475E-007
        3025  5.768093434893674E-008  8.112264255194503E-007
        3325 -1.028050450682605E-007  5.627623214026807E-007
        3725 -4.517814603180321E-007  5.742035918821377E-007
        4125 -1.142089330121702E-007  5.818975294431258E-007
